"league_id","meta_type","meta_keyid","meta_value","meta_source"
2,source_team_id,22801,"22",espn
2,source_team_id,22701,"1",espn
2,source_team_id,21201,"33",espn
2,source_team_id,21202,"4",espn
2,source_team_id,21101,"2",espn
2,source_team_id,22702,"29",espn
2,source_team_id,22601,"3",espn
2,source_team_id,21203,"5",espn
2,source_team_id,22501,"6",espn
2,source_team_id,21401,"7",espn
2,source_team_id,22602,"8",espn
2,source_team_id,22603,"9",espn
2,source_team_id,21301,"34",espn
2,source_team_id,21302,"11",espn
2,source_team_id,21303,"30",espn
2,source_team_id,21402,"12",espn
2,source_team_id,21404,"24",espn
2,source_team_id,22802,"14",espn
2,source_team_id,21403,"13",espn
2,source_team_id,21102,"15",espn
2,source_team_id,22604,"16",espn
2,source_team_id,21103,"17",espn
2,source_team_id,22703,"18",espn
2,source_team_id,22502,"19",espn
2,source_team_id,21104,"20",espn
2,source_team_id,22503,"21",espn
2,source_team_id,21204,"23",espn
2,source_team_id,22804,"26",espn
2,source_team_id,22803,"25",espn
2,source_team_id,22704,"27",espn
2,source_team_id,21304,"10",espn
2,source_team_id,22504,"28",espn
5,source_team_id,50801,"2005",espn
5,source_team_id,50701,"2006",espn
5,source_team_id,51101,"2026",espn
5,source_team_id,51001,"8",espn
5,source_team_id,50101,"349",espn
5,source_team_id,51102,"2032",espn
5,source_team_id,51002,"2",espn
5,source_team_id,50401,"12",espn
5,source_team_id,50402,"9",espn
5,source_team_id,50702,"2050",espn
5,source_team_id,51003,"333",espn
5,source_team_id,50403,"239",espn
5,source_team_id,50201,"103",espn
5,source_team_id,50703,"189",espn
5,source_team_id,50802,"68",espn
5,source_team_id,50704,"2084",espn
5,source_team_id,50404,"252",espn
5,source_team_id,50202,"25",espn
5,source_team_id,51103,"324",espn
5,source_team_id,50102,"2429",espn
5,source_team_id,50405,"2132",espn
5,source_team_id,50203,"228",espn
5,source_team_id,50705,"2117",espn
5,source_team_id,50406,"38",espn
5,source_team_id,50601,"41",espn
5,source_team_id,50803,"36",espn
5,source_team_id,50204,"150",espn
5,source_team_id,50103,"151",espn
5,source_team_id,50706,"2199",espn
5,source_team_id,50104,"2226",espn
5,source_team_id,50501,"2229",espn
5,source_team_id,51004,"57",espn
5,source_team_id,50804,"278",espn
5,source_team_id,50205,"52",espn
5,source_team_id,51015,"61",espn
5,source_team_id,51104,"290",espn
5,source_team_id,51105,"2247",espn
5,source_team_id,50206,"59",espn
5,source_team_id,50805,"62",espn
5,source_team_id,50414,"248",espn
5,source_team_id,50303,"2294",espn
5,source_team_id,50407,"66",espn
5,source_team_id,50301,"356",espn
5,source_team_id,50302,"84",espn
5,source_team_id,51106,"256",espn
5,source_team_id,50502,"55",espn
5,source_team_id,50503,"338",espn
5,source_team_id,50707,"2309",espn
5,source_team_id,50409,"2305",espn
5,source_team_id,50408,"2306",espn
5,source_team_id,51005,"96",espn
5,source_team_id,51107,"309",espn
5,source_team_id,50505,"2348",espn
5,source_team_id,50504,"2335",espn
5,source_team_id,50207,"97",espn
5,source_team_id,51006,"99",espn
5,source_team_id,50602,"113",espn
5,source_team_id,51108,"276",espn
5,source_team_id,50304,"120",espn
5,source_team_id,50105,"235",espn
5,source_team_id,50307,"130",espn
5,source_team_id,50208,"2390",espn
5,source_team_id,50708,"193",espn
5,source_team_id,50306,"127",espn
5,source_team_id,50305,"135",espn
5,source_team_id,51007,"142",espn
5,source_team_id,51010,"145",espn
5,source_team_id,51008,"344",espn
5,source_team_id,50506,"2393",espn
